# じゃらんエリアダッシュボード／予約状況／カレンダー 日別データ【宿泊】,,,,,,,,,,,,,
# データソース: https://prod-apnortheast-a.online.tableau.com/#/site/jalanareadashboard/views/ver_2/sheet0,,,,,,,,,,,,,
# 比較年: 1年前（前年同月日との比較）,,,,,,,,,,,,,
# 取扱額の単位は万円、人数=宿泊人泊数、単価=宿泊人泊単価（円）,,,,,,,,,,,,,
# 比較年実績/比較年予約 セルは「値 (前年比%)」の形式,,,,,,,,,,,,,
# 「※」は予約実績法人数1件以下または予約件数4件以下のため非公開,,,,,,,,,,,,,
予約種別,年度,比較年,日付,曜日,取扱額,取扱額_比較年実績,取扱額_比較年予約,宿泊人泊数,人泊数_比較年実績,人泊数_比較年予約,宿泊人泊単価,単価_比較年実績,単価_比較年予約
宿泊,令和7年度,1年前,2025-10-21,火,155万円,90万円 (173.3%),90万円 (173.3%),153,104 (147.1%),104 (147.1%),"10,148","8,614 (117.8%)","8,614 (117.8%)"
宿泊,令和7年度,1年前,2025-10-22,水,227万円,108万円 (209.8%),108万円 (209.8%),199,105 (189.5%),105 (189.5%),"11,424","10,321 (110.7%)","10,321 (110.7%)"
宿泊,令和7年度,1年前,2025-10-23,木,232万円,137万円 (169.7%),137万円 (169.7%),223,129 (172.9%),129 (172.9%),"10,415","10,612 (98.1%)","10,612 (98.1%)"
宿泊,令和7年度,1年前,2025-10-24,金,306万円,248万円 (123.7%),248万円 (123.7%),262,227 (115.4%),227 (115.4%),"11,697","10,912 (107.2%)","10,912 (107.2%)"
宿泊,令和7年度,1年前,2025-10-25,土,310万円,205万円 (151.5%),205万円 (151.5%),240,180 (133.3%),180 (133.3%),"12,921","11,372 (113.6%)","11,372 (113.6%)"
宿泊,令和7年度,1年前,2025-10-26,日,445万円,375万円 (118.7%),375万円 (118.7%),352,313 (112.5%),313 (112.5%),"12,638","11,973 (105.5%)","11,973 (105.5%)"
宿泊,令和7年度,1年前,2025-10-27,月,233万円,183万円 (127.4%),183万円 (127.4%),164,146 (112.3%),146 (112.3%),"14,202","12,521 (113.4%)","12,521 (113.4%)"
宿泊,令和7年度,1年前,2025-10-28,火,126万円,123万円 (101.8%),123万円 (101.8%),111,129 (86.0%),129 (86.0%),"11,316","9,563 (118.3%)","9,563 (118.3%)"
宿泊,令和7年度,1年前,2025-10-29,水,186万円,146万円 (127.4%),146万円 (127.4%),140,125 (112.0%),125 (112.0%),"13,294","11,690 (113.7%)","11,690 (113.7%)"
宿泊,令和7年度,1年前,2025-10-30,木,147万円,152万円 (96.8%),152万円 (96.8%),153,160 (95.6%),160 (95.6%),"9,597","9,485 (101.2%)","9,485 (101.2%)"
宿泊,令和7年度,1年前,2025-10-31,金,295万円,145万円 (203.6%),145万円 (203.6%),290,146 (198.6%),146 (198.6%),"10,185","9,936 (102.5%)","9,936 (102.5%)"
宿泊,令和7年度,1年前,2025-11-01,土,198万円,203万円 (97.5%),203万円 (97.5%),149,178 (83.7%),178 (83.7%),"13,276","11,399 (116.5%)","11,399 (116.5%)"
宿泊,令和7年度,1年前,2025-11-02,日,430万円,376万円 (114.5%),376万円 (114.5%),315,296 (106.4%),296 (106.4%),"13,657","12,690 (107.6%)","12,690 (107.6%)"
宿泊,令和7年度,1年前,2025-11-03,月,516万円,361万円 (143.2%),361万円 (143.2%),345,324 (106.5%),324 (106.5%),"14,966","11,131 (134.5%)","11,131 (134.5%)"
宿泊,令和7年度,1年前,2025-11-04,火,144万円,184万円 (78.0%),184万円 (78.0%),105,157 (66.9%),157 (66.9%),"13,697","11,739 (116.7%)","11,739 (116.7%)"
宿泊,令和7年度,1年前,2025-11-05,水,81万円,111万円 (72.7%),111万円 (72.7%),92,113 (81.4%),113 (81.4%),"8,808","9,863 (89.3%)","9,863 (89.3%)"
宿泊,令和7年度,1年前,2025-11-06,木,138万円,105万円 (131.4%),105万円 (131.4%),145,116 (125.0%),116 (125.0%),"9,491","9,030 (105.1%)","9,030 (105.1%)"
宿泊,令和7年度,1年前,2025-11-07,金,200万円,184万円 (108.7%),184万円 (108.7%),194,209 (92.8%),209 (92.8%),"10,310","8,807 (117.1%)","8,807 (117.1%)"
宿泊,令和7年度,1年前,2025-11-08,土,218万円,153万円 (142.4%),153万円 (142.4%),205,136 (150.7%),136 (150.7%),"10,650","11,273 (94.5%)","11,273 (94.5%)"
宿泊,令和7年度,1年前,2025-11-09,日,311万円,290万円 (107.0%),290万円 (107.0%),242,233 (103.9%),233 (103.9%),"12,838","12,465 (103.0%)","12,465 (103.0%)"
宿泊,令和7年度,1年前,2025-11-10,月,172万円,147万円 (116.7%),147万円 (116.7%),137,122 (112.3%),122 (112.3%),"12,527","12,057 (103.9%)","12,057 (103.9%)"
宿泊,令和7年度,1年前,2025-11-11,火,117万円,138万円 (84.9%),138万円 (84.9%),133,138 (96.4%),138 (96.4%),"8,780","9,971 (88.0%)","9,971 (88.0%)"
宿泊,令和7年度,1年前,2025-11-12,水,181万円,170万円 (106.5%),170万円 (106.5%),175,161 (108.7%),161 (108.7%),"10,348","10,560 (98.0%)","10,560 (98.0%)"
宿泊,令和7年度,1年前,2025-11-13,木,179万円,157万円 (114.1%),157万円 (114.1%),175,178 (98.3%),178 (98.3%),"10,243","8,823 (116.1%)","8,823 (116.1%)"
宿泊,令和7年度,1年前,2025-11-14,金,251万円,169万円 (147.9%),169万円 (147.9%),224,198 (113.1%),198 (113.1%),"11,186","8,556 (130.7%)","8,556 (130.7%)"
宿泊,令和7年度,1年前,2025-11-15,土,197万円,222万円 (88.6%),222万円 (88.6%),178,217 (82.0%),217 (82.0%),"11,064","10,241 (108.0%)","10,241 (108.0%)"
宿泊,令和7年度,1年前,2025-11-16,日,297万円,374万円 (79.6%),374万円 (79.6%),251,301 (83.4%),301 (83.4%),"11,850","12,412 (95.5%)","12,412 (95.5%)"
宿泊,令和7年度,1年前,2025-11-17,月,149万円,110万円 (135.8%),110万円 (135.8%),113,74 (152.7%),74 (152.7%),"13,191","14,827 (89.0%)","14,827 (89.0%)"
宿泊,令和7年度,1年前,2025-11-18,火,77万円,88万円 (88.0%),88万円 (88.0%),71,101 (70.3%),101 (70.3%),"10,890","8,699 (125.2%)","8,699 (125.2%)"
宿泊,令和7年度,1年前,2025-11-19,水,129万円,120万円 (107.4%),120万円 (107.4%),133,124 (107.3%),124 (107.3%),"9,707","9,696 (100.1%)","9,696 (100.1%)"
宿泊,令和7年度,1年前,2025-11-20,木,172万円,147万円 (117.2%),147万円 (117.2%),178,144 (123.6%),144 (123.6%),"9,672","10,202 (94.8%)","10,202 (94.8%)"
宿泊,令和7年度,1年前,2025-11-21,金,214万円,200万円 (106.9%),200万円 (106.9%),215,234 (91.9%),234 (91.9%),"9,967","8,567 (116.3%)","8,567 (116.3%)"
宿泊,令和7年度,1年前,2025-11-22,土,167万円,166万円 (100.5%),166万円 (100.5%),133,147 (90.5%),147 (90.5%),"12,542","11,286 (111.1%)","11,286 (111.1%)"
宿泊,令和7年度,1年前,2025-11-23,日,405万円,307万円 (131.9%),307万円 (131.9%),325,231 (140.7%),231 (140.7%),"12,451","13,276 (93.8%)","13,276 (93.8%)"
宿泊,令和7年度,1年前,2025-11-24,月,358万円,138万円 (259.4%),138万円 (259.4%),271,110 (246.4%),110 (246.4%),"13,209","12,547 (105.3%)","12,547 (105.3%)"
宿泊,令和7年度,1年前,2025-11-25,火,128万円,93万円 (136.7%),93万円 (136.7%),86,100 (86.0%),100 (86.0%),"14,842","9,339 (158.9%)","9,339 (158.9%)"
宿泊,令和7年度,1年前,2025-11-26,水,97万円,122万円 (80.0%),122万円 (80.0%),111,116 (95.7%),116 (95.7%),"8,780","10,502 (83.6%)","10,502 (83.6%)"
宿泊,令和7年度,1年前,2025-11-27,木,148万円,184万円 (80.1%),184万円 (80.1%),152,189 (80.4%),189 (80.4%),"9,719","9,757 (99.6%)","9,757 (99.6%)"
宿泊,令和7年度,1年前,2025-11-28,金,144万円,218万円 (66.1%),218万円 (66.1%),147,246 (59.8%),246 (59.8%),"9,814","8,870 (110.6%)","8,870 (110.6%)"
宿泊,令和7年度,1年前,2025-11-29,土,149万円,139万円 (107.0%),139万円 (107.0%),116,154 (75.3%),154 (75.3%),"12,820","9,027 (142.0%)","9,027 (142.0%)"
宿泊,令和7年度,1年前,2025-11-30,日,317万円,289万円 (109.6%),289万円 (109.6%),273,215 (127.0%),215 (127.0%),"11,607","13,451 (86.3%)","13,451 (86.3%)"
宿泊,令和7年度,1年前,2025-12-01,月,124万円,66万円 (186.2%),66万円 (186.2%),105,48 (218.8%),48 (218.8%),"11,779","13,840 (85.1%)","13,840 (85.1%)"
宿泊,令和7年度,1年前,2025-12-02,火,114万円,37万円 (309.8%),37万円 (309.8%),114,39 (292.3%),39 (292.3%),"10,012","9,447 (106.0%)","9,447 (106.0%)"
宿泊,令和7年度,1年前,2025-12-03,水,92万円,94万円 (98.0%),94万円 (98.0%),106,109 (97.2%),109 (97.2%),"8,704","8,636 (100.8%)","8,636 (100.8%)"
宿泊,令和7年度,1年前,2025-12-04,木,127万円,107万円 (118.6%),107万円 (118.6%),122,131 (93.1%),131 (93.1%),"10,423","8,183 (127.4%)","8,183 (127.4%)"
宿泊,令和7年度,1年前,2025-12-05,金,178万円,138万円 (129.4%),138万円 (129.4%),183,157 (116.6%),157 (116.6%),"9,748","8,782 (111.0%)","8,782 (111.0%)"
宿泊,令和7年度,1年前,2025-12-06,土,147万円,120万円 (122.1%),120万円 (122.1%),118,106 (111.3%),106 (111.3%),"12,464","11,367 (109.6%)","11,367 (109.6%)"
宿泊,令和7年度,1年前,2025-12-07,日,243万円,255万円 (95.5%),255万円 (95.5%),183,190 (96.3%),190 (96.3%),"13,305","13,420 (99.1%)","13,420 (99.1%)"
宿泊,令和7年度,1年前,2025-12-08,月,97万円,66万円 (146.2%),66万円 (146.2%),88,54 (163.0%),54 (163.0%),"11,044","12,313 (89.7%)","12,313 (89.7%)"
宿泊,令和7年度,1年前,2025-12-09,火,105万円,82万円 (127.8%),82万円 (127.8%),103,92 (112.0%),92 (112.0%),"10,207","8,939 (114.2%)","8,939 (114.2%)"
宿泊,令和7年度,1年前,2025-12-10,水,114万円,112万円 (102.2%),112万円 (102.2%),106,108 (98.1%),108 (98.1%),"10,784","10,359 (104.1%)","10,359 (104.1%)"
宿泊,令和7年度,1年前,2025-12-11,木,93万円,89万円 (104.4%),89万円 (104.4%),109,107 (101.9%),107 (101.9%),"8,566","8,363 (102.4%)","8,363 (102.4%)"
宿泊,令和7年度,1年前,2025-12-12,金,136万円,141万円 (96.0%),141万円 (96.0%),146,168 (86.9%),168 (86.9%),"9,286","8,403 (110.5%)","8,403 (110.5%)"
宿泊,令和7年度,1年前,2025-12-13,土,168万円,151万円 (111.2%),151万円 (111.2%),134,158 (84.8%),158 (84.8%),"12,519","9,551 (131.1%)","9,551 (131.1%)"
宿泊,令和7年度,1年前,2025-12-14,日,279万円,196万円 (142.1%),196万円 (142.1%),227,166 (136.7%),166 (136.7%),"12,302","11,836 (103.9%)","11,836 (103.9%)"
宿泊,令和7年度,1年前,2025-12-15,月,110万円,89万円 (123.5%),89万円 (123.5%),73,79 (92.4%),79 (92.4%),"15,077","11,285 (133.6%)","11,285 (133.6%)"
宿泊,令和7年度,1年前,2025-12-16,火,83万円,83万円 (99.4%),83万円 (99.4%),83,100 (83.0%),100 (83.0%),"10,000","8,347 (119.8%)","8,347 (119.8%)"
宿泊,令和7年度,1年前,2025-12-17,水,107万円,87万円 (123.1%),87万円 (123.1%),118,95 (124.2%),95 (124.2%),"9,086","9,170 (99.1%)","9,170 (99.1%)"
宿泊,令和7年度,1年前,2025-12-18,木,114万円,105万円 (108.5%),105万円 (108.5%),127,128 (99.2%),128 (99.2%),"8,958","8,190 (109.4%)","8,190 (109.4%)"
宿泊,令和7年度,1年前,2025-12-19,金,172万円,155万円 (111.3%),155万円 (111.3%),185,202 (91.6%),202 (91.6%),"9,309","7,657 (121.6%)","7,657 (121.6%)"
宿泊,令和7年度,1年前,2025-12-20,土,133万円,113万円 (118.1%),113万円 (118.1%),124,132 (93.9%),132 (93.9%),"10,712","8,524 (125.7%)","8,524 (125.7%)"
宿泊,令和7年度,1年前,2025-12-21,日,263万円,233万円 (113.1%),233万円 (113.1%),213,179 (119.0%),179 (119.0%),"12,345","12,992 (95.0%)","12,992 (95.0%)"
宿泊,令和7年度,1年前,2025-12-22,月,73万円,83万円 (87.9%),83万円 (87.9%),65,69 (94.2%),69 (94.2%),"11,216","12,020 (93.3%)","12,020 (93.3%)"
宿泊,令和7年度,1年前,2025-12-23,火,115万円,69万円 (165.4%),69万円 (165.4%),110,78 (141.0%),78 (141.0%),"10,425","8,890 (117.3%)","8,890 (117.3%)"
宿泊,令和7年度,1年前,2025-12-24,水,62万円,69万円 (89.7%),69万円 (89.7%),69,82 (84.1%),82 (84.1%),"9,018","8,463 (106.6%)","8,463 (106.6%)"
宿泊,令和7年度,1年前,2025-12-25,木,64万円,90万円 (71.0%),90万円 (71.0%),84,88 (95.5%),88 (95.5%),"7,637","10,266 (74.4%)","10,266 (74.4%)"
宿泊,令和7年度,1年前,2025-12-26,金,143万円,112万円 (128.4%),112万円 (128.4%),126,129 (97.7%),129 (97.7%),"11,379","8,653 (131.5%)","8,653 (131.5%)"
宿泊,令和7年度,1年前,2025-12-27,土,119万円,76万円 (156.5%),76万円 (156.5%),91,77 (118.2%),77 (118.2%),"13,088","9,885 (132.4%)","9,885 (132.4%)"
宿泊,令和7年度,1年前,2025-12-28,日,234万円,252万円 (92.9%),252万円 (92.9%),178,188 (94.7%),188 (94.7%),"13,127","13,379 (98.1%)","13,379 (98.1%)"
宿泊,令和7年度,1年前,2025-12-29,月,278万円,320万円 (86.9%),320万円 (86.9%),182,240 (75.8%),240 (75.8%),"15,252","13,316 (114.5%)","13,316 (114.5%)"
宿泊,令和7年度,1年前,2025-12-30,火,348万円,320万円 (108.7%),320万円 (108.7%),260,220 (118.2%),220 (118.2%),"13,374","14,541 (92.0%)","14,541 (92.0%)"
宿泊,令和7年度,1年前,2025-12-31,水,237万円,322万円 (73.8%),322万円 (73.8%),163,188 (86.7%),188 (86.7%),"14,562","17,114 (85.1%)","17,114 (85.1%)"
宿泊,令和7年度,1年前,2026-01-01,木,331万円,275万円 (120.2%),275万円 (120.2%),222,172 (129.1%),172 (129.1%),"14,908","16,002 (93.2%)","16,002 (93.2%)"
宿泊,令和7年度,1年前,2026-01-02,金,271万円,238万円 (114.2%),238万円 (114.2%),154,179 (86.0%),179 (86.0%),"17,623","13,273 (132.8%)","13,273 (132.8%)"
宿泊,令和7年度,1年前,2026-01-03,土,269万円,254万円 (106.0%),254万円 (106.0%),179,194 (92.3%),194 (92.3%),"15,011","13,068 (114.9%)","13,068 (114.9%)"
宿泊,令和7年度,1年前,2026-01-04,日,220万円,173万円 (127.5%),173万円 (127.5%),161,120 (134.2%),120 (134.2%),"13,670","14,381 (95.1%)","14,381 (95.1%)"
宿泊,令和7年度,1年前,2026-01-05,月,89万円,28万円 (317.6%),28万円 (317.6%),65,35 (185.7%),35 (185.7%),"13,768","8,050 (171.0%)","8,050 (171.0%)"
宿泊,令和7年度,1年前,2026-01-06,火,78万円,39万円 (201.0%),39万円 (201.0%),69,44 (156.8%),44 (156.8%),"11,271","8,794 (128.2%)","8,794 (128.2%)"
宿泊,令和7年度,1年前,2026-01-07,水,28万円,44万円 (64.7%),44万円 (64.7%),34,45 (75.6%),45 (75.6%),"8,314","9,708 (85.6%)","9,708 (85.6%)"
宿泊,令和7年度,1年前,2026-01-08,木,50万円,46万円 (107.8%),46万円 (107.8%),57,60 (95.0%),60 (95.0%),"8,747","7,711 (113.4%)","7,711 (113.4%)"
宿泊,令和7年度,1年前,2026-01-09,金,98万円,83万円 (118.2%),83万円 (118.2%),98,89 (110.1%),89 (110.1%),"9,977","9,291 (107.4%)","9,291 (107.4%)"
宿泊,令和7年度,1年前,2026-01-10,土,118万円,76万円 (155.6%),76万円 (155.6%),95,93 (102.2%),93 (102.2%),"12,469","8,188 (152.3%)","8,188 (152.3%)"
宿泊,令和7年度,1年前,2026-01-11,日,207万円,213万円 (97.1%),213万円 (97.1%),140,167 (83.8%),167 (83.8%),"14,784","12,766 (115.8%)","12,766 (115.8%)"
宿泊,令和7年度,1年前,2026-01-12,月,196万円,202万円 (97.1%),202万円 (97.1%),157,185 (84.9%),185 (84.9%),"12,502","10,929 (114.4%)","10,929 (114.4%)"
宿泊,令和7年度,1年前,2026-01-13,火,66万円,49万円 (135.0%),49万円 (135.0%),64,47 (136.2%),47 (136.2%),"10,265","10,355 (99.1%)","10,355 (99.1%)"
宿泊,令和7年度,1年前,2026-01-14,水,45万円,61万円 (74.1%),61万円 (74.1%),55,72 (76.4%),72 (76.4%),"8,214","8,472 (97.0%)","8,472 (97.0%)"
宿泊,令和7年度,1年前,2026-01-15,木,59万円,80万円 (73.5%),80万円 (73.5%),72,91 (79.1%),91 (79.1%),"8,146","8,774 (92.8%)","8,774 (92.8%)"
宿泊,令和7年度,1年前,2026-01-16,金,126万円,93万円 (135.8%),93万円 (135.8%),144,116 (124.1%),116 (124.1%),"8,732","7,980 (109.4%)","7,980 (109.4%)"
宿泊,令和7年度,1年前,2026-01-17,土,115万円,133万円 (86.7%),133万円 (86.7%),101,126 (80.2%),126 (80.2%),"11,415","10,548 (108.2%)","10,548 (108.2%)"
宿泊,令和7年度,1年前,2026-01-18,日,144万円,130万円 (110.6%),130万円 (110.6%),125,102 (122.5%),102 (122.5%),"11,490","12,731 (90.2%)","12,731 (90.2%)"
宿泊,令和7年度,1年前,2026-01-19,月,111万円,66万円 (168.1%),66万円 (168.1%),111,53 (209.4%),53 (209.4%),"10,025","12,493 (80.2%)","12,493 (80.2%)"
宿泊,令和7年度,1年前,2026-01-20,火,94万円,66万円 (143.0%),66万円 (143.0%),87,83 (104.8%),83 (104.8%),"10,776","7,899 (136.4%)","7,899 (136.4%)"
宿泊,令和7年度,1年前,2026-01-21,水,115万円,73万円 (156.7%),73万円 (156.7%),115,77 (149.4%),77 (149.4%),"9,997","9,527 (104.9%)","9,527 (104.9%)"
宿泊,令和7年度,1年前,2026-01-22,木,117万円,94万円 (124.0%),94万円 (124.0%),100,114 (87.7%),114 (87.7%),"11,694","8,269 (141.4%)","8,269 (141.4%)"
宿泊,令和7年度,1年前,2026-01-23,金,153万円,193万円 (79.2%),193万円 (79.2%),162,214 (75.7%),214 (75.7%),"9,436","9,016 (104.7%)","9,016 (104.7%)"
宿泊,令和7年度,1年前,2026-01-24,土,126万円,86万円 (145.6%),86万円 (145.6%),111,95 (116.8%),95 (116.8%),"11,344","9,104 (124.6%)","9,104 (124.6%)"
宿泊,令和7年度,1年前,2026-01-25,日,288万円,171万円 (168.7%),171万円 (168.7%),181,150 (120.7%),150 (120.7%),"15,924","11,392 (139.8%)","11,392 (139.8%)"
宿泊,令和7年度,1年前,2026-01-26,月,101万円,86万円 (118.3%),86万円 (118.3%),65,73 (89.0%),73 (89.0%),"15,600","11,741 (132.9%)","11,741 (132.9%)"
宿泊,令和7年度,1年前,2026-01-27,火,95万円,67万円 (142.7%),67万円 (142.7%),83,72 (115.3%),72 (115.3%),"11,481","9,275 (123.8%)","9,275 (123.8%)"
宿泊,令和7年度,1年前,2026-01-28,水,107万円,58万円 (184.5%),58万円 (184.5%),111,76 (146.1%),76 (146.1%),"9,604","7,603 (126.3%)","7,603 (126.3%)"
宿泊,令和7年度,1年前,2026-01-29,木,108万円,74万円 (145.9%),74万円 (145.9%),105,93 (112.9%),93 (112.9%),"10,330","7,995 (129.2%)","7,995 (129.2%)"
宿泊,令和7年度,1年前,2026-01-30,金,133万円,86万円 (154.3%),86万円 (154.3%),132,103 (128.2%),103 (128.2%),"10,048","8,344 (120.4%)","8,344 (120.4%)"
宿泊,令和7年度,1年前,2026-01-31,土,132万円,104万円 (126.9%),104万円 (126.9%),132,98 (134.7%),98 (134.7%),"9,992","10,605 (94.2%)","10,605 (94.2%)"
宿泊,令和7年度,1年前,2026-02-01,日,186万円,136万円 (136.6%),136万円 (136.6%),148,131 (113.0%),131 (113.0%),"12,551","10,382 (120.9%)","10,382 (120.9%)"
宿泊,令和7年度,1年前,2026-02-02,月,64万円,68万円 (93.2%),68万円 (93.2%),62,61 (101.6%),61 (101.6%),"10,269","11,195 (91.7%)","11,195 (91.7%)"
宿泊,令和7年度,1年前,2026-02-03,火,70万円,61万円 (115.0%),61万円 (115.0%),71,67 (106.0%),67 (106.0%),"9,923","9,143 (108.5%)","9,143 (108.5%)"
宿泊,令和7年度,1年前,2026-02-04,水,84万円,61万円 (138.2%),61万円 (138.2%),90,73 (123.3%),73 (123.3%),"9,299","8,295 (112.1%)","8,295 (112.1%)"
宿泊,令和7年度,1年前,2026-02-05,木,93万円,60万円 (155.1%),60万円 (155.1%),105,82 (128.0%),82 (128.0%),"8,839","7,298 (121.1%)","7,298 (121.1%)"
宿泊,令和7年度,1年前,2026-02-06,金,147万円,139万円 (105.9%),139万円 (105.9%),183,142 (128.9%),142 (128.9%),"8,046","9,787 (82.2%)","9,787 (82.2%)"
宿泊,令和7年度,1年前,2026-02-07,土,115万円,146万円 (78.5%),146万円 (78.5%),129,146 (88.4%),146 (88.4%),"8,892","10,008 (88.8%)","10,008 (88.8%)"
宿泊,令和7年度,1年前,2026-02-08,日,239万円,246万円 (96.9%),246万円 (96.9%),174,235 (74.0%),235 (74.0%),"13,715","10,483 (130.8%)","10,483 (130.8%)"
宿泊,令和7年度,1年前,2026-02-09,月,157万円,230万円 (68.4%),230万円 (68.4%),108,176 (61.4%),176 (61.4%),"14,561","13,060 (111.5%)","13,060 (111.5%)"
宿泊,令和7年度,1年前,2026-02-10,火,82万円,99万円 (82.9%),99万円 (82.9%),79,91 (86.8%),91 (86.8%),"10,363","10,850 (95.5%)","10,850 (95.5%)"
宿泊,令和7年度,1年前,2026-02-11,水,85万円,66万円 (127.8%),66万円 (127.8%),95,52 (182.7%),52 (182.7%),"8,918","12,753 (69.9%)","12,753 (69.9%)"
宿泊,令和7年度,1年前,2026-02-12,木,97万円,62万円 (155.4%),62万円 (155.4%),91,77 (118.2%),77 (118.2%),"10,641","8,095 (131.5%)","8,095 (131.5%)"
宿泊,令和7年度,1年前,2026-02-13,金,129万円,137万円 (93.7%),137万円 (93.7%),141,154 (91.6%),154 (91.6%),"9,129","8,916 (102.4%)","8,916 (102.4%)"
宿泊,令和7年度,1年前,2026-02-14,土,115万円,80万円 (143.1%),80万円 (143.1%),105,75 (140.0%),75 (140.0%),"10,947","10,706 (102.2%)","10,706 (102.2%)"
宿泊,令和7年度,1年前,2026-02-15,日,367万円,225万円 (163.5%),225万円 (163.5%),319,160 (199.4%),160 (199.4%),"11,507","14,032 (82.0%)","14,032 (82.0%)"
宿泊,令和7年度,1年前,2026-02-16,月,210万円,95万円 (221.3%),95万円 (221.3%),173,86 (201.2%),86 (201.2%),"12,113","11,011 (110.0%)","11,011 (110.0%)"
宿泊,令和7年度,1年前,2026-02-17,火,88万円,111万円 (79.8%),111万円 (79.8%),88,99 (88.9%),99 (88.9%),"10,039","11,179 (89.8%)","11,179 (89.8%)"
宿泊,令和7年度,1年前,2026-02-18,水,118万円,110万円 (107.8%),110万円 (107.8%),120,135 (88.9%),135 (88.9%),"9,870","8,140 (121.3%)","8,140 (121.3%)"
宿泊,令和7年度,1年前,2026-02-19,木,129万円,114万円 (113.1%),114万円 (113.1%),139,132 (105.3%),132 (105.3%),"9,271","8,631 (107.4%)","8,631 (107.4%)"
宿泊,令和7年度,1年前,2026-02-20,金,146万円,140万円 (104.2%),140万円 (104.2%),164,173 (94.8%),173 (94.8%),"8,918","8,115 (109.9%)","8,115 (109.9%)"
宿泊,令和7年度,1年前,2026-02-21,土,97万円,129万円 (74.9%),129万円 (74.9%),108,115 (93.9%),115 (93.9%),"8,970","11,240 (79.8%)","11,240 (79.8%)"
宿泊,令和7年度,1年前,2026-02-22,日,430万円,338万円 (127.1%),338万円 (127.1%),349,265 (131.7%),265 (131.7%),"12,325","12,766 (96.5%)","12,766 (96.5%)"
宿泊,令和7年度,1年前,2026-02-23,月,446万円,310万円 (144.0%),310万円 (144.0%),376,272 (138.2%),272 (138.2%),"11,857","11,386 (104.1%)","11,386 (104.1%)"
宿泊,令和7年度,1年前,2026-02-24,火,122万円,188万円 (64.9%),188万円 (64.9%),88,155 (56.8%),155 (56.8%),"13,876","12,134 (114.4%)","12,134 (114.4%)"
宿泊,令和7年度,1年前,2026-02-25,水,206万円,81万円 (253.3%),81万円 (253.3%),169,90 (187.8%),90 (187.8%),"12,194","9,039 (134.9%)","9,039 (134.9%)"
宿泊,令和7年度,1年前,2026-02-26,木,138万円,79万円 (174.2%),79万円 (174.2%),137,90 (152.2%),90 (152.2%),"10,085","8,810 (114.5%)","8,810 (114.5%)"
宿泊,令和7年度,1年前,2026-02-27,金,87万円,100万円 (87.2%),100万円 (87.2%),98,110 (89.1%),110 (89.1%),"8,875","9,063 (97.9%)","9,063 (97.9%)"
宿泊,令和7年度,1年前,2026-02-28,土,94万円,70万円 (134.3%),70万円 (134.3%),83,72 (115.3%),72 (115.3%),"11,377","9,763 (116.5%)","9,763 (116.5%)"
宿泊,令和7年度,1年前,2026-03-01,日,189万円,208万円 (90.6%),208万円 (90.6%),141,146 (96.6%),146 (96.6%),"13,369","14,257 (93.8%)","14,257 (93.8%)"
宿泊,令和7年度,1年前,2026-03-02,月,64万円,83万円 (76.6%),83万円 (76.6%),53,60 (88.3%),60 (88.3%),"11,982","13,825 (86.7%)","13,825 (86.7%)"
宿泊,令和7年度,1年前,2026-03-03,火,75万円,65万円 (116.5%),65万円 (116.5%),77,65 (118.5%),65 (118.5%),"9,774","9,943 (98.3%)","9,943 (98.3%)"
宿泊,令和7年度,1年前,2026-03-04,水,106万円,99万円 (107.1%),99万円 (107.1%),102,114 (89.5%),114 (89.5%),"10,417","8,703 (119.7%)","8,703 (119.7%)"
宿泊,令和7年度,1年前,2026-03-05,木,135万円,97万円 (139.2%),97万円 (139.2%),141,93 (151.6%),93 (151.6%),"9,594","10,450 (91.8%)","10,450 (91.8%)"
宿泊,令和7年度,1年前,2026-03-06,金,141万円,135万円 (104.6%),135万円 (104.6%),152,147 (103.4%),147 (103.4%),"9,292","9,187 (101.1%)","9,187 (101.1%)"
宿泊,令和7年度,1年前,2026-03-07,土,95万円,111万円 (85.5%),111万円 (85.5%),109,99 (110.1%),99 (110.1%),"8,704","11,214 (77.6%)","11,214 (77.6%)"
宿泊,令和7年度,1年前,2026-03-08,日,222万円,258万円 (86.0%),258万円 (86.0%),209,229 (91.3%),229 (91.3%),"10,617","11,267 (94.2%)","11,267 (94.2%)"
宿泊,令和7年度,1年前,2026-03-09,月,110万円,88万円 (124.9%),88万円 (124.9%),90,68 (132.4%),68 (132.4%),"12,233","12,959 (94.4%)","12,959 (94.4%)"
宿泊,令和7年度,1年前,2026-03-10,火,99万円,73万円 (134.6%),73万円 (134.6%),88,79 (111.4%),79 (111.4%),"11,205","9,272 (120.9%)","9,272 (120.9%)"
宿泊,令和7年度,1年前,2026-03-11,水,126万円,119万円 (106.0%),119万円 (106.0%),127,126 (100.8%),126 (100.8%),"9,890","9,406 (105.1%)","9,406 (105.1%)"
宿泊,令和7年度,1年前,2026-03-12,木,118万円,76万円 (156.1%),76万円 (156.1%),127,95 (133.7%),95 (133.7%),"9,318","7,978 (116.8%)","7,978 (116.8%)"
宿泊,令和7年度,1年前,2026-03-13,金,126万円,153万円 (82.7%),153万円 (82.7%),141,177 (79.7%),177 (79.7%),"8,955","8,628 (103.8%)","8,628 (103.8%)"
